,loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
121,122,41,2.0,VoterID,413268,549900,0,0,0,0
122,123,36,2.0,Aadhar,930948,1344000,11,0,0,0
123,124,51,2.0,Aadhar,867364,819440,6,4,0,1
124,125,37,2.0,Aadhar,639636,749184,0,0,0,0
125,126,36,1.0,Aadhar,855364,876272,3,2,0,1
126,127,51,2.0,VoterID,742936,737600,9,4,0,1
127,128,28,1.0,Aadhar,745764,936000,2,2,0,0
128,129,31,2.0,Aadhar,566988,733044,26,3,0,0
129,130,52,1.0,VoterID,870028,780068,3,2,0,1
130,131,31,2.0,PAN,790108,803744,3,2,0,1
131,132,29,1.0,Aadhar,754756,719996,3,2,0,1
132,133,43,2.0,Aadhar,712936,835160,5,4,0,1
133,134,50,2.0,Aadhar,755364,1155420,0,0,0,0
134,135,39,2.0,Aadhar,716556,826956,14,4,0,0
135,136,36,2.0,Aadhar,559980,884016,3,2,0,0
136,137,50,1.0,Aadhar,712936,695336,7,6,0,1
137,138,45,2.0,Aadhar,812956,1450004,11,8,0,1
138,139,55,2.0,Aadhar,772156,764000,14,9,0,1
139,140,33,1.0,Aadhar,786556,832484,3,2,0,1
140,141,29,1.0,Aadhar,1413804,2126844,20,4,0,0
141,142,32,2.0,Aadhar,655908,791376,11,3,1,0
142,143,32,2.0,Aadhar,494520,740280,0,0,0,0
143,144,45,2.0,Aadhar,817092,1104960,0,0,0,0
144,145,34,1.0,Aadhar,711108,909300,6,4,0,0
145,146,41,1.0,Aadhar,767364,928164,16,9,0,0
146,147,26,1.0,Aadhar,613236,813720,0,0,0,0
147,148,31,1.0,Aadhar,997012,1129892,3,2,0,1
148,149,29,2.0,Aadhar,429540,848280,0,0,0,0
149,150,34,2.0,Aadhar,436788,745800,0,0,0,0
150,151,32,1.0,Aadhar,882120,1321464,0,0,0,0
151,152,43,1.0,Aadhar,651108,800964,0,0,0,0
152,153,36,2.0,Aadhar,615636,825492,36,4,0,0
153,154,48,2.0,Aadhar,591636,775200,0,0,0,0
154,155,54,2.0,Aadhar,674188,676232,23,11,0,1
155,156,54,2.0,Aadhar,867364,767600,6,2,0,1
156,157,48,2.0,Aadhar,703356,829668,4,2,0,0
157,158,29,2.0,Aadhar,345372,919896,0,0,0,0
158,159,36,2.0,Aadhar,889464,1203708,0,0,0,0
159,160,28,2.0,Aadhar,807228,1245888,7,4,0,0
160,161,53,1.0,Aadhar,660988,680036,3,2,0,1
161,162,23,,Aadhar,1085316,1517592,2,2,0,0
162,163,31,1.0,Aadhar,528588,791160,0,0,0,0
163,164,34,1.0,Aadhar,502128,774300,2,0,0,0
164,165,33,1.0,Aadhar,665188,980600,3,2,0,1
165,166,34,1.0,Aadhar,1058640,1350000,2,2,0,0
166,167,44,1.0,Aadhar,639348,791820,0,0,0,0
167,168,31,2.0,Aadhar,496728,844800,0,0,0,0
168,169,29,2.0,Aadhar,722556,875520,0,0,0,0
169,170,38,2.0,Aadhar,486120,715620,0,0,0,0
170,171,34,2.0,Aadhar,1151440,1617740,3,2,0,1
171,172,28,2.0,Aadhar,580188,805404,2,2,0,0
172,173,29,1.0,Aadhar,583188,758904,0,0,0,0
173,174,46,1.0,Aadhar,668188,630284,13,9,0,1
174,175,52,2.0,Aadhar,723736,645656,3,2,0,1
175,176,30,1.0,Aadhar,608436,812040,0,0,0,0
176,177,47,2.0,VoterID,691908,793056,0,0,0,0
177,178,29,2.0,Aadhar,626436,885084,0,0,0,0
178,179,43,2.0,Aadhar,593736,819000,0,0,0,0
179,180,29,,Aadhar,876736,1060748,3,2,0,1
180,181,48,1.0,Aadhar,550140,763836,0,0,0,0
181,182,50,1.0,Aadhar,461688,809964,0,0,0,0
182,183,26,2.0,Aadhar,722556,891240,2,0,0,0
183,184,33,2.0,Aadhar,707364,827640,2,0,0,0
184,185,39,2.0,Aadhar,586188,1526904,3,3,0,0
185,186,27,1.0,Aadhar,705108,1005684,2,2,0,0
186,187,41,2.0,Aadhar,787756,809024,5,4,0,1
187,188,37,2.0,VoterID,953476,1112000,3,2,0,1
188,189,40,1.0,Aadhar,642132,891024,2,2,0,0
189,190,49,2.0,Aadhar,729736,727268,22,13,0,1
190,191,33,2.0,Aadhar,684708,858840,0,0,0,0
191,192,32,1.0,Aadhar,867364,833624,6,5,0,1
192,193,49,1.0,Aadhar,924364,893600,67,5,0,1
193,194,38,2.0,VoterID,973804,1117856,6,5,0,1
194,195,32,1.0,Aadhar,603636,853236,3,2,0,0
195,196,34,1.0,Aadhar,749476,732236,3,2,0,1
196,197,45,2.0,Aadhar,544008,794064,0,0,0,0
197,198,38,2.0,Aadhar,715636,693788,3,2,0,1
198,199,46,2.0,Aadhar,698472,856464,2,2,0,0
199,200,31,1.0,Aadhar,725364,899436,2,0,0,0
200,201,37,1.0,Aadhar,757356,863112,8,6,0,0
201,202,40,2.0,Aadhar,656188,732800,3,2,0,1
202,203,44,2.0,Aadhar,515928,1233024,4,2,0,0
203,204,46,2.0,Aadhar,733336,769580,6,4,0,1
204,205,47,1.0,Aadhar,859476,1146000,0,0,0,0
205,206,30,1.0,Aadhar,724636,609752,3,2,0,1
206,207,41,2.0,Aadhar,630096,790860,2,2,0,0
207,208,40,1.0,Aadhar,757108,761468,3,2,0,1
208,209,33,1.0,Aadhar,731364,900312,0,0,0,0
209,210,47,2.0,Aadhar,639636,801576,0,0,0,0
210,211,39,2.0,Aadhar,769996,735344,3,2,0,1
211,212,33,2.0,VoterID,746556,854400,6,2,0,0
212,213,37,2.0,Aadhar,633636,821532,3,2,0,0
213,214,34,1.0,Aadhar,754164,1053600,2,2,0,0
214,215,46,1.0,Aadhar,800028,863424,11,5,0,0
215,216,35,2.0,Aadhar,491028,789600,2,2,0,0
216,217,44,2.0,Aadhar,608196,819564,55,27,0,0
217,218,41,1.0,Aadhar,737668,715628,13,5,0,1
218,219,25,1.0,Aadhar,675108,770376,0,0,0,0
219,220,37,2.0,Aadhar,428100,546228,4,2,0,0
220,221,54,2.0,Aadhar,495808,646256,3,2,0,1
221,222,35,1.0,Aadhar,596436,751524,2,0,0,0
222,223,35,1.0,Aadhar,872584,742616,6,5,0,1
223,224,33,2.0,Aadhar,794308,807152,3,2,0,1
224,225,33,2.0,Aadhar,855804,1274928,2,2,0,0
225,226,31,2.0,Aadhar,774556,794216,3,2,0,1
226,227,43,2.0,Aadhar,639636,946296,0,0,0,0
227,228,43,2.0,Aadhar,727636,685844,6,2,0,1
228,229,23,,Aadhar,572628,990240,0,0,0,0
229,230,29,2.0,VoterID,675108,812916,0,0,0,0
230,231,39,1.0,Aadhar,678988,699920,3,2,0,1
231,232,30,2.0,VoterID,760156,809024,6,5,0,1
232,233,44,2.0,Aadhar,613368,845712,0,0,0,0
233,234,45,2.0,Aadhar,389808,757704,3,2,0,0
234,235,49,1.0,Aadhar,836956,745928,11,5,0,1
235,236,36,2.0,Aadhar,579396,938880,3,0,0,0
236,237,29,2.0,Aadhar,548220,848052,0,0,0,0
237,238,33,2.0,Aadhar,496728,803892,13,5,0,0
238,239,32,1.0,VoterID,912436,1044632,3,2,0,1
239,240,43,2.0,Aadhar,673276,787904,5,4,0,1
240,241,34,2.0,Aadhar,815164,768128,3,2,0,1
241,242,50,1.0,Aadhar,564588,819468,3,2,0,0
242,243,38,1.0,Aadhar,638436,874152,13,5,0,0
243,244,46,2.0,VoterID,712936,700640,6,4,0,1
244,245,46,2.0,VoterID,451668,1106820,0,0,0,0
245,246,45,2.0,Aadhar,1132680,1613004,17,2,0,0
246,247,47,1.0,Aadhar,465184,391820,3,2,0,1
247,248,41,2.0,Aadhar,905584,1218596,3,2,0,1
248,249,49,2.0,Aadhar,557668,926756,7,5,0,1
249,250,46,2.0,VoterID,812416,718952,6,2,0,1
250,251,27,1.0,Driving,820428,1189080,2,2,0,0
251,252,35,1.0,Aadhar,370092,767304,3,3,0,0
252,253,30,1.0,Aadhar,550740,878724,0,0,0,0
253,254,41,2.0,PAN,937804,1111100,3,2,0,1
254,255,31,2.0,Aadhar,532188,2419200,0,0,0,0
255,256,45,2.0,Aadhar,618700,596000,6,4,0,1
256,257,51,1.0,Aadhar,709036,764720,5,4,0,1
257,258,38,2.0,Aadhar,784228,796220,8,7,0,1
258,259,46,1.0,VoterID,925228,828896,3,2,0,1
259,260,51,2.0,Aadhar,1050232,1215800,11,7,0,1
260,261,39,1.0,Aadhar,752632,721256,6,2,0,1
261,262,32,2.0,Aadhar,692188,736904,3,2,0,1
262,263,25,1.0,Aadhar,801384,912000,0,0,0,0
263,264,43,2.0,Aadhar,460668,798360,0,0,0,0
264,265,34,1.0,Aadhar,799108,764072,10,9,0,1
265,266,47,2.0,Aadhar,330348,553368,5,2,0,0
266,267,36,2.0,Aadhar,627648,869952,0,0,0,0
267,268,48,2.0,Aadhar,740448,1316160,11,10,0,0
268,269,45,1.0,Aadhar,765472,685724,5,4,0,1
269,270,51,2.0,Aadhar,885784,988052,9,2,0,1
270,271,38,2.0,Aadhar,603636,941892,2,2,0,0
271,272,38,2.0,Aadhar,565740,841680,3,2,0,0
272,273,46,2.0,Aadhar,782028,1231032,5,5,0,0
273,274,42,1.0,Aadhar,820156,751364,3,2,0,1
274,275,43,2.0,Aadhar,674028,821196,0,0,0,0
275,276,29,,VoterID,692188,1175360,3,2,0,1
276,277,47,2.0,Aadhar,499128,805380,0,0,0,0
277,278,36,2.0,Aadhar,881980,1062668,3,2,0,1
278,279,40,1.0,Aadhar,746556,940200,9,2,0,0
279,280,44,1.0,Aadhar,786408,900000,4,3,0,0
280,281,31,2.0,Aadhar,552336,766224,4,2,0,0
281,282,41,2.0,Driving,473880,828780,0,0,0,0
282,283,43,1.0,Aadhar,642100,643700,3,2,0,1
283,284,38,2.0,Aadhar,781108,740516,12,8,0,1
284,285,38,1.0,Aadhar,639636,866472,0,0,0,0
285,286,51,1.0,Aadhar,748936,725792,8,4,1,1
286,287,37,2.0,Aadhar,745992,1090668,2,0,0,0
287,288,28,1.0,Aadhar,837804,1146000,3,3,0,0
288,289,38,2.0,Aadhar,676956,821040,6,0,0,0
289,290,41,2.0,VoterID,671316,1098264,0,0,0,0
290,291,28,1.0,Aadhar,658956,862800,0,0,0,0
291,292,50,2.0,Aadhar,365808,873288,0,0,0,0
292,293,40,2.0,Aadhar,578800,549932,3,2,0,1
293,294,27,1.0,Aadhar,663108,846000,3,3,0,0
294,295,40,2.0,Aadhar,636744,864708,0,0,0,0
295,296,45,2.0,Aadhar,718156,711704,3,2,0,1
296,297,29,1.0,Aadhar,586188,709512,3,2,0,0
297,298,42,1.0,Driving,575128,603956,3,2,0,1
298,299,49,1.0,Aadhar,876628,808772,31,7,0,1
299,300,35,2.0,Aadhar,767068,680540,11,8,1,1
300,301,32,2.0,Aadhar,699108,831672,6,3,0,0
301,302,47,1.0,Aadhar,615636,709368,14,6,0,0
302,303,30,1.0,Aadhar,814584,950232,0,0,0,0
303,304,30,2.0,VoterID,1050232,1219412,3,2,0,1
304,305,37,2.0,Aadhar,417948,566328,10,9,0,0
305,306,38,1.0,Aadhar,790584,900000,6,5,0,0
306,307,28,2.0,VoterID,609636,919848,0,0,0,0
307,308,32,2.0,Aadhar,354348,726000,0,0,0,0
308,309,47,1.0,Aadhar,759868,760460,20,4,0,1
309,310,51,2.0,Aadhar,758548,741476,5,4,0,1
310,311,26,1.0,Aadhar,498168,787152,0,0,0,0
311,312,30,1.0,Aadhar,690156,903108,4,0,0,0
312,313,42,2.0,Aadhar,654100,643976,3,2,0,1
313,314,49,1.0,Aadhar,651108,858816,0,0,0,0
314,315,29,,Aadhar,893200,1027952,5,4,0,1
315,316,26,1.0,Aadhar,1169880,1632000,2,0,0,0
316,317,27,1.0,Aadhar,843804,1192440,2,2,0,0
317,318,46,,Aadhar,864876,1114212,0,0,0,0
318,319,46,1.0,Aadhar,569676,793056,0,0,0,0
319,320,40,2.0,VoterID,831364,1073396,3,2,0,1
320,321,42,2.0,Aadhar,694936,667544,3,2,0,1
321,322,40,1.0,Aadhar,742036,646400,3,2,0,1
322,323,39,2.0,Aadhar,731364,1314000,0,0,0,0
323,324,32,1.0,Aadhar,947476,921104,3,2,0,1
324,325,31,1.0,Aadhar,615972,934296,7,4,0,0
325,326,54,2.0,Aadhar,723436,781040,17,7,1,1
326,327,50,2.0,Aadhar,659676,839172,0,0,0,0
327,328,33,1.0,Aadhar,684988,667208,3,2,0,1
328,329,52,2.0,Aadhar,855364,771140,5,4,0,1
329,330,48,2.0,Driving,607548,855912,0,0,0,0
330,331,28,2.0,Aadhar,746556,936000,0,0,0,0
331,332,48,2.0,Aadhar,797784,969792,8,6,0,0
332,333,25,1.0,Aadhar,767364,1121136,2,2,0,0
333,334,52,2.0,Aadhar,914584,834752,14,4,0,1
334,335,48,2.0,Aadhar,920584,920000,3,2,0,1
335,336,29,1.0,Aadhar,638136,821832,5,5,0,0
336,337,35,1.0,Aadhar,644436,888360,44,16,0,0
337,338,44,2.0,Aadhar,602436,756120,0,0,0,0
338,339,31,1.0,VoterID,572988,745824,2,2,0,0
339,340,46,2.0,Aadhar,876028,863984,5,4,0,1
340,341,29,2.0,Aadhar,831804,1194396,3,2,0,0
341,342,30,1.0,Aadhar,891028,958580,3,2,0,1
342,343,38,1.0,Aadhar,584728,599000,5,4,0,1
343,344,52,2.0,Aadhar,656188,671696,7,5,0,1
344,345,41,2.0,Aadhar,527148,853128,7,2,0,0
345,346,45,2.0,Aadhar,964204,890000,5,4,0,1
346,347,33,2.0,Aadhar,519528,781956,10,5,0,0
347,348,31,2.0,Aadhar,1174068,1934400,2,0,0,0
348,349,43,1.0,Aadhar,461268,744600,0,0,0,0
349,350,48,2.0,VoterID,642156,748392,5,4,1,0
350,351,37,1.0,VoterID,359808,805788,10,8,0,0
351,352,32,2.0,Aadhar,953476,1067600,3,2,0,1
352,353,43,1.0,Aadhar,484728,693252,2,2,0,0
353,354,36,1.0,PAN,621364,779624,3,2,0,1
354,355,31,2.0,Aadhar,724164,837060,0,0,0,0
355,356,55,2.0,Aadhar,733636,614312,5,4,0,1
356,357,26,2.0,VoterID,603360,962424,0,0,0,0
357,358,32,1.0,Aadhar,808564,709844,6,4,0,1
358,359,25,1.0,Aadhar,484728,754632,0,0,0,0
359,360,39,2.0,Aadhar,698724,982800,0,0,0,0
360,361,45,1.0,Aadhar,632436,768228,20,4,0,0
361,362,27,1.0,Aadhar,507768,831768,0,0,0,0
362,363,26,1.0,Aadhar,740640,886200,6,3,0,0
363,364,43,2.0,Aadhar,718452,861516,0,0,0,0
364,365,47,2.0,Aadhar,788028,1083540,0,0,0,0
365,366,32,1.0,Aadhar,639636,1090944,4,3,0,0
366,367,36,2.0,Aadhar,684156,913404,0,0,0,0
367,368,45,2.0,Aadhar,620676,892032,0,0,0,0
368,369,28,2.0,Aadhar,824028,1167816,0,0,0,0
369,370,24,,Aadhar,753564,951120,0,0,0,0
370,371,26,1.0,Aadhar,733200,985080,0,0,0,0
371,372,31,1.0,Aadhar,592372,655172,5,4,0,1
372,373,47,1.0,VoterID,584988,809748,7,4,0,0
373,374,48,2.0,Aadhar,494328,943752,0,0,0,0
374,375,39,1.0,Aadhar,546588,818796,14,9,0,0
375,376,33,2.0,Aadhar,496728,749196,6,3,1,0
376,377,29,2.0,VoterID,678708,909600,0,0,0,0
377,378,49,2.0,Aadhar,870556,860744,8,7,0,1
378,379,29,2.0,VoterID,626436,770412,5,4,0,0
379,380,48,2.0,Aadhar,380808,933600,0,0,0,0
380,381,49,1.0,Aadhar,859600,770696,3,2,0,1
381,382,54,2.0,Aadhar,746128,747044,9,5,0,1
382,383,35,1.0,Aadhar,668016,808368,4,4,0,0
383,384,30,2.0,Aadhar,784156,725276,7,6,0,1
384,385,40,1.0,Aadhar,494400,743016,4,0,0,0
385,386,42,2.0,Aadhar,843364,852800,6,4,0,1
386,387,35,2.0,VoterID,382888,726920,3,2,0,1
387,388,33,2.0,Aadhar,901228,1221200,3,2,0,1
388,389,42,2.0,Aadhar,415932,823344,3,2,0,0
389,390,34,1.0,Aadhar,654156,756000,0,0,0,0
390,391,34,,Aadhar,693736,721472,3,2,0,1
391,392,45,2.0,Aadhar,788628,906000,14,2,0,0
392,393,46,2.0,Aadhar,535188,782496,0,0,0,0
393,394,34,2.0,PAN,619752,839064,7,3,0,0
394,395,31,1.0,Aadhar,515628,829764,2,2,0,0
395,396,25,2.0,Aadhar,632436,813408,0,0,0,0
396,397,49,2.0,Aadhar,794028,1032000,4,3,0,0
397,398,46,2.0,Aadhar,841476,1288800,2,2,0,0
398,399,53,2.0,Aadhar,819364,772400,9,6,0,1
399,400,25,1.0,Aadhar,624996,728892,0,0,0,0
400,401,27,2.0,Aadhar,504528,881592,3,0,0,0
401,402,32,1.0,Aadhar,621636,1073004,0,0,0,0
402,403,48,1.0,Aadhar,895828,848000,19,8,0,1
403,404,50,1.0,Aadhar,788716,716636,9,5,0,1
404,405,29,2.0,Aadhar,746556,1341540,0,0,0,0
405,406,23,,Aadhar,521928,840000,5,3,0,0
406,407,47,2.0,Aadhar,506068,635264,16,7,0,1
407,408,50,2.0,Aadhar,653508,816696,0,0,0,0
408,409,32,2.0,Aadhar,519120,802680,2,0,0,0
409,410,35,1.0,Aadhar,699108,856800,14,0,0,0
410,411,36,2.0,Aadhar,733336,730868,3,2,0,1
411,412,30,2.0,Aadhar,715636,697904,10,7,0,1
412,413,42,1.0,Aadhar,867804,1063200,20,3,0,0
413,414,26,2.0,VoterID,425268,844668,0,0,0,0
414,415,35,1.0,Aadhar,674188,676136,3,2,0,1
415,416,30,2.0,VoterID,843804,1298508,0,0,0,0
416,417,48,2.0,Aadhar,760744,687896,9,4,0,1
417,418,48,2.0,Aadhar,482808,652680,5,3,0,0
418,419,29,2.0,VoterID,642036,841248,0,0,0,0
419,420,44,2.0,VoterID,924948,1449468,0,0,0,0
420,421,45,1.0,Aadhar,924556,887576,17,12,0,1
421,422,24,,Aadhar,606036,783108,3,2,0,0
422,423,48,2.0,VoterID,624936,933816,0,0,0,0
423,424,31,2.0,Aadhar,754308,987984,2,0,0,0
424,425,31,2.0,Aadhar,787108,733880,3,2,0,1
425,426,30,2.0,Aadhar,401808,738084,3,2,0,0
426,427,42,2.0,Aadhar,892828,877760,5,4,0,1
427,428,38,2.0,Driving,824400,1215132,0,0,0,0
428,429,39,2.0,Aadhar,329388,905712,0,0,0,0
429,430,25,2.0,Aadhar,393528,825900,0,0,0,0
430,431,36,1.0,Aadhar,394704,599400,0,0,0,0
431,432,46,1.0,Aadhar,654552,788460,15,6,0,0
432,433,50,2.0,Driving,816688,827324,7,5,0,1
433,434,53,1.0,Aadhar,981076,1101776,5,4,0,1
434,435,30,2.0,VoterID,933012,1176852,2,0,0,0
435,436,42,1.0,Aadhar,692724,1411872,13,7,0,0
436,437,44,2.0,Aadhar,544188,844608,3,2,0,0
437,438,36,2.0,Aadhar,626728,757928,3,2,0,1
438,439,28,2.0,Aadhar,636936,807420,0,0,0,0
439,440,36,1.0,VoterID,690988,754160,3,2,0,1
440,441,40,2.0,Aadhar,760156,757616,3,2,0,1
441,442,37,2.0,Aadhar,591276,782820,0,0,0,0
442,443,38,2.0,Aadhar,514728,854856,0,0,0,0
443,444,30,2.0,Aadhar,645636,841488,3,0,0,0
444,445,38,1.0,VoterID,668556,772572,2,0,0,0
445,446,37,2.0,Aadhar,493728,849552,19,17,1,0
446,447,37,2.0,Aadhar,312384,886932,4,2,0,0
447,448,35,2.0,VoterID,730020,1073532,0,0,0,0
448,449,41,2.0,VoterID,623736,971700,0,0,0,0
449,450,43,1.0,Aadhar,696180,795420,15,6,0,0
450,451,31,1.0,Aadhar,732796,726908,5,2,0,1
451,452,25,2.0,Aadhar,918948,1349544,0,0,0,0
452,453,42,2.0,Aadhar,704496,953544,0,0,0,0
453,454,42,2.0,Aadhar,754800,854400,0,0,0,0
454,455,31,2.0,Aadhar,972604,1227524,3,2,0,1
455,456,30,2.0,Aadhar,477528,783480,0,0,0,0
456,457,28,2.0,Passport,743364,1298676,0,0,0,0
457,458,42,2.0,Aadhar,564588,818400,2,2,0,0
458,459,37,1.0,Aadhar,415152,608700,0,0,0,0
459,460,31,1.0,Aadhar,656188,596420,3,2,0,1
460,461,31,2.0,Aadhar,644188,605420,5,2,0,1
461,462,30,2.0,PAN,675756,863820,8,4,0,0
462,463,39,1.0,Aadhar,559260,737580,4,2,0,0
