age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
35,2,537868,649100,5,4,0,1
47,1,901228,855200,6,5,0,1
43,1,607360,761876,3,2,0,1
53,1,803908,701000,7,4,0,1
38,2,648936,825528,0,0,0,0
33,2,630936,871632,0,0,0,0
34,2,775108,721412,3,2,0,1
41,1,616596,805560,9,7,0,0
45,2,445668,888000,2,0,0,0
46,2,469668,763800,0,0,0,0
37,2,615636,882216,0,0,0,0
37,1,768556,750500,5,4,0,1
29,2,514728,813168,0,0,0,0
44,1,624936,814800,2,2,0,0
43,2,815188,1147304,3,2,0,1
42,1,1068232,1115600,6,2,0,1
46,2,358000,982400,19,9,0,1
47,2,1063920,1912404,0,0,0,0
47,2,790584,896592,0,0,0,0
52,2,1485016,1958408,3,2,0,1
54,1,748156,648452,7,4,0,1
37,2,736936,733244,5,4,0,1
34,2,740800,715460,3,2,0,1
36,2,455268,873984,0,0,0,0
31,1,266352,818808,2,2,0,0
42,1,620728,566000,9,6,0,1
40,2,649356,805284,4,0,0,0
31,1,651108,790776,4,4,0,0
29,2,1070256,1786476,0,0,0,0
46,1,785356,720812,6,4,0,1
32,1,627028,713636,3,2,0,1
35,1,695532,868104,8,3,0,0
38,1,780276,868608,8,7,0,0
54,2,776956,717560,3,2,0,1
37,2,668188,676400,3,2,0,1
51,2,796156,898880,3,2,0,1
54,2,1269880,1786280,3,2,0,1
42,1,433948,802400,7,5,0,1
37,2,508728,1197960,2,2,0,0
46,2,865476,1044000,0,0,0,0
50,2,740716,824156,3,2,0,1
46,2,633636,1076676,2,0,0,0
47,2,749124,915960,3,2,0,0
49,2,619836,808872,16,8,0,0
45,2,671740,777980,9,5,0,1
30,2,767364,889224,0,0,0,0
38,1,1257880,1785104,3,2,0,1
49,1,596428,705380,3,2,0,1
37,2,967732,1138700,3,2,0,1
51,2,772108,774128,6,5,0,1
36,2,800956,806000,9,4,0,1
26,1,567564,835824,0,0,0,0
28,2,622536,807840,0,0,0,0
33,2,803628,1255164,0,0,0,0
31,1,657108,798000,3,0,0,0
42,2,518520,759024,0,0,0,0
40,2,782668,741272,5,4,0,1
48,2,918676,1382072,14,7,0,1
41,2,448348,447284,5,4,0,1
45,2,878584,863816,5,4,0,1
37,1,790708,707000,3,2,0,1
50,2,390748,658352,13,6,0,1
47,2,716556,835848,0,0,0,0
43,2,737364,843396,0,0,0,0
41,2,413268,549900,0,0,0,0
36,2,930948,1344000,11,0,0,0
51,2,867364,819440,6,4,0,1
37,2,639636,749184,0,0,0,0
36,1,855364,876272,3,2,0,1
51,2,742936,737600,9,4,0,1
28,1,745764,936000,2,2,0,0
52,1,870028,780068,3,2,0,1
31,2,790108,803744,3,2,0,1
29,1,754756,719996,3,2,0,1
43,2,712936,835160,5,4,0,1
50,2,755364,1155420,0,0,0,0
39,2,716556,826956,14,4,0,0
36,2,559980,884016,3,2,0,0
50,1,712936,695336,7,6,0,1
45,2,812956,1450004,11,8,0,1
55,2,772156,764000,14,9,0,1
33,1,786556,832484,3,2,0,1
32,2,655908,791376,11,3,1,0
32,2,494520,740280,0,0,0,0
45,2,817092,1104960,0,0,0,0
34,1,711108,909300,6,4,0,0
41,1,767364,928164,16,9,0,0
26,1,613236,813720,0,0,0,0
31,1,997012,1129892,3,2,0,1
29,2,429540,848280,0,0,0,0
34,2,436788,745800,0,0,0,0
32,1,882120,1321464,0,0,0,0
43,1,651108,800964,0,0,0,0
48,2,591636,775200,0,0,0,0
54,2,867364,767600,6,2,0,1
48,2,703356,829668,4,2,0,0
29,2,345372,919896,0,0,0,0
36,2,889464,1203708,0,0,0,0
28,2,807228,1245888,7,4,0,0
53,1,660988,680036,3,2,0,1
31,1,528588,791160,0,0,0,0
34,1,502128,774300,2,0,0,0
33,1,665188,980600,3,2,0,1
34,1,1058640,1350000,2,2,0,0
44,1,639348,791820,0,0,0,0
31,2,496728,844800,0,0,0,0
29,2,722556,875520,0,0,0,0
38,2,486120,715620,0,0,0,0
34,2,1151440,1617740,3,2,0,1
28,2,580188,805404,2,2,0,0
29,1,583188,758904,0,0,0,0
46,1,668188,630284,13,9,0,1
52,2,723736,645656,3,2,0,1
30,1,608436,812040,0,0,0,0
47,2,691908,793056,0,0,0,0
29,2,626436,885084,0,0,0,0
43,2,593736,819000,0,0,0,0
48,1,550140,763836,0,0,0,0
50,1,461688,809964,0,0,0,0
26,2,722556,891240,2,0,0,0
33,2,707364,827640,2,0,0,0
39,2,586188,1526904,3,3,0,0
27,1,705108,1005684,2,2,0,0
41,2,787756,809024,5,4,0,1
37,2,953476,1112000,3,2,0,1
40,1,642132,891024,2,2,0,0
33,2,684708,858840,0,0,0,0
32,1,867364,833624,6,5,0,1
38,2,973804,1117856,6,5,0,1
32,1,603636,853236,3,2,0,0
34,1,749476,732236,3,2,0,1
45,2,544008,794064,0,0,0,0
38,2,715636,693788,3,2,0,1
46,2,698472,856464,2,2,0,0
31,1,725364,899436,2,0,0,0
37,1,757356,863112,8,6,0,0
40,2,656188,732800,3,2,0,1
44,2,515928,1233024,4,2,0,0
46,2,733336,769580,6,4,0,1
47,1,859476,1146000,0,0,0,0
30,1,724636,609752,3,2,0,1
41,2,630096,790860,2,2,0,0
40,1,757108,761468,3,2,0,1
33,1,731364,900312,0,0,0,0
47,2,639636,801576,0,0,0,0
39,2,769996,735344,3,2,0,1
33,2,746556,854400,6,2,0,0
37,2,633636,821532,3,2,0,0
34,1,754164,1053600,2,2,0,0
46,1,800028,863424,11,5,0,0
35,2,491028,789600,2,2,0,0
41,1,737668,715628,13,5,0,1
25,1,675108,770376,0,0,0,0
37,2,428100,546228,4,2,0,0
54,2,495808,646256,3,2,0,1
35,1,596436,751524,2,0,0,0
35,1,872584,742616,6,5,0,1
33,2,794308,807152,3,2,0,1
33,2,855804,1274928,2,2,0,0
31,2,774556,794216,3,2,0,1
43,2,639636,946296,0,0,0,0
43,2,727636,685844,6,2,0,1
29,2,675108,812916,0,0,0,0
39,1,678988,699920,3,2,0,1
30,2,760156,809024,6,5,0,1
44,2,613368,845712,0,0,0,0
45,2,389808,757704,3,2,0,0
49,1,836956,745928,11,5,0,1
36,2,579396,938880,3,0,0,0
29,2,548220,848052,0,0,0,0
33,2,496728,803892,13,5,0,0
32,1,912436,1044632,3,2,0,1
43,2,673276,787904,5,4,0,1
34,2,815164,768128,3,2,0,1
50,1,564588,819468,3,2,0,0
38,1,638436,874152,13,5,0,0
46,2,712936,700640,6,4,0,1
46,2,451668,1106820,0,0,0,0
45,2,1132680,1613004,17,2,0,0
47,1,465184,391820,3,2,0,1
41,2,905584,1218596,3,2,0,1
49,2,557668,926756,7,5,0,1
46,2,812416,718952,6,2,0,1
27,1,820428,1189080,2,2,0,0
35,1,370092,767304,3,3,0,0
30,1,550740,878724,0,0,0,0
41,2,937804,1111100,3,2,0,1
31,2,532188,2419200,0,0,0,0
45,2,618700,596000,6,4,0,1
51,1,709036,764720,5,4,0,1
38,2,784228,796220,8,7,0,1
46,1,925228,828896,3,2,0,1
51,2,1050232,1215800,11,7,0,1
39,1,752632,721256,6,2,0,1
32,2,692188,736904,3,2,0,1
25,1,801384,912000,0,0,0,0
43,2,460668,798360,0,0,0,0
34,1,799108,764072,10,9,0,1
47,2,330348,553368,5,2,0,0
36,2,627648,869952,0,0,0,0
48,2,740448,1316160,11,10,0,0
45,1,765472,685724,5,4,0,1
51,2,885784,988052,9,2,0,1
38,2,603636,941892,2,2,0,0
38,2,565740,841680,3,2,0,0
46,2,782028,1231032,5,5,0,0
42,1,820156,751364,3,2,0,1
43,2,674028,821196,0,0,0,0
47,2,499128,805380,0,0,0,0
36,2,881980,1062668,3,2,0,1
40,1,746556,940200,9,2,0,0
44,1,786408,900000,4,3,0,0
31,2,552336,766224,4,2,0,0
41,2,473880,828780,0,0,0,0
43,1,642100,643700,3,2,0,1
38,2,781108,740516,12,8,0,1
38,1,639636,866472,0,0,0,0
51,1,748936,725792,8,4,1,1
37,2,745992,1090668,2,0,0,0
28,1,837804,1146000,3,3,0,0
38,2,676956,821040,6,0,0,0
41,2,671316,1098264,0,0,0,0
28,1,658956,862800,0,0,0,0
50,2,365808,873288,0,0,0,0
40,2,578800,549932,3,2,0,1
27,1,663108,846000,3,3,0,0
40,2,636744,864708,0,0,0,0
45,2,718156,711704,3,2,0,1
29,1,586188,709512,3,2,0,0
42,1,575128,603956,3,2,0,1
35,2,767068,680540,11,8,1,1
32,2,699108,831672,6,3,0,0
47,1,615636,709368,14,6,0,0
30,1,814584,950232,0,0,0,0
30,2,1050232,1219412,3,2,0,1
37,2,417948,566328,10,9,0,0
38,1,790584,900000,6,5,0,0
28,2,609636,919848,0,0,0,0
32,2,354348,726000,0,0,0,0
51,2,758548,741476,5,4,0,1
26,1,498168,787152,0,0,0,0
30,1,690156,903108,4,0,0,0
42,2,654100,643976,3,2,0,1
49,1,651108,858816,0,0,0,0
26,1,1169880,1632000,2,0,0,0
27,1,843804,1192440,2,2,0,0
46,1,569676,793056,0,0,0,0
40,2,831364,1073396,3,2,0,1
42,2,694936,667544,3,2,0,1
40,1,742036,646400,3,2,0,1
39,2,731364,1314000,0,0,0,0
32,1,947476,921104,3,2,0,1
31,1,615972,934296,7,4,0,0
54,2,723436,781040,17,7,1,1
50,2,659676,839172,0,0,0,0
33,1,684988,667208,3,2,0,1
52,2,855364,771140,5,4,0,1
48,2,607548,855912,0,0,0,0
28,2,746556,936000,0,0,0,0
48,2,797784,969792,8,6,0,0
25,1,767364,1121136,2,2,0,0
52,2,914584,834752,14,4,0,1
48,2,920584,920000,3,2,0,1
29,1,638136,821832,5,5,0,0
44,2,602436,756120,0,0,0,0
31,1,572988,745824,2,2,0,0
46,2,876028,863984,5,4,0,1
29,2,831804,1194396,3,2,0,0
30,1,891028,958580,3,2,0,1
38,1,584728,599000,5,4,0,1
52,2,656188,671696,7,5,0,1
41,2,527148,853128,7,2,0,0
45,2,964204,890000,5,4,0,1
33,2,519528,781956,10,5,0,0
31,2,1174068,1934400,2,0,0,0
43,1,461268,744600,0,0,0,0
48,2,642156,748392,5,4,1,0
37,1,359808,805788,10,8,0,0
32,2,953476,1067600,3,2,0,1
43,1,484728,693252,2,2,0,0
36,1,621364,779624,3,2,0,1
31,2,724164,837060,0,0,0,0
55,2,733636,614312,5,4,0,1
26,2,603360,962424,0,0,0,0
32,1,808564,709844,6,4,0,1
25,1,484728,754632,0,0,0,0
39,2,698724,982800,0,0,0,0
27,1,507768,831768,0,0,0,0
26,1,740640,886200,6,3,0,0
43,2,718452,861516,0,0,0,0
47,2,788028,1083540,0,0,0,0
32,1,639636,1090944,4,3,0,0
36,2,684156,913404,0,0,0,0
45,2,620676,892032,0,0,0,0
28,2,824028,1167816,0,0,0,0
26,1,733200,985080,0,0,0,0
31,1,592372,655172,5,4,0,1
47,1,584988,809748,7,4,0,0
48,2,494328,943752,0,0,0,0
39,1,546588,818796,14,9,0,0
33,2,496728,749196,6,3,1,0
29,2,678708,909600,0,0,0,0
49,2,870556,860744,8,7,0,1
29,2,626436,770412,5,4,0,0
48,2,380808,933600,0,0,0,0
49,1,859600,770696,3,2,0,1
54,2,746128,747044,9,5,0,1
35,1,668016,808368,4,4,0,0
30,2,784156,725276,7,6,0,1
40,1,494400,743016,4,0,0,0
42,2,843364,852800,6,4,0,1
35,2,382888,726920,3,2,0,1
33,2,901228,1221200,3,2,0,1
42,2,415932,823344,3,2,0,0
34,1,654156,756000,0,0,0,0
45,2,788628,906000,14,2,0,0
46,2,535188,782496,0,0,0,0
34,2,619752,839064,7,3,0,0
31,1,515628,829764,2,2,0,0
25,2,632436,813408,0,0,0,0
49,2,794028,1032000,4,3,0,0
46,2,841476,1288800,2,2,0,0
53,2,819364,772400,9,6,0,1
25,1,624996,728892,0,0,0,0
27,2,504528,881592,3,0,0,0
32,1,621636,1073004,0,0,0,0
48,1,895828,848000,19,8,0,1
50,1,788716,716636,9,5,0,1
29,2,746556,1341540,0,0,0,0
47,2,506068,635264,16,7,0,1
50,2,653508,816696,0,0,0,0
32,2,519120,802680,2,0,0,0
35,1,699108,856800,14,0,0,0
36,2,733336,730868,3,2,0,1
30,2,715636,697904,10,7,0,1
26,2,425268,844668,0,0,0,0
35,1,674188,676136,3,2,0,1
30,2,843804,1298508,0,0,0,0
48,2,760744,687896,9,4,0,1
48,2,482808,652680,5,3,0,0
29,2,642036,841248,0,0,0,0
44,2,924948,1449468,0,0,0,0
45,1,924556,887576,17,12,0,1
48,2,624936,933816,0,0,0,0
31,2,754308,987984,2,0,0,0
31,2,787108,733880,3,2,0,1
30,2,401808,738084,3,2,0,0
42,2,892828,877760,5,4,0,1
38,2,824400,1215132,0,0,0,0
39,2,329388,905712,0,0,0,0
25,2,393528,825900,0,0,0,0
36,1,394704,599400,0,0,0,0
46,1,654552,788460,15,6,0,0
50,2,816688,827324,7,5,0,1
53,1,981076,1101776,5,4,0,1
30,2,933012,1176852,2,0,0,0
42,1,692724,1411872,13,7,0,0
44,2,544188,844608,3,2,0,0
36,2,626728,757928,3,2,0,1
28,2,636936,807420,0,0,0,0
36,1,690988,754160,3,2,0,1
40,2,760156,757616,3,2,0,1
37,2,591276,782820,0,0,0,0
38,2,514728,854856,0,0,0,0
30,2,645636,841488,3,0,0,0
38,1,668556,772572,2,0,0,0
37,2,493728,849552,19,17,1,0
37,2,312384,886932,4,2,0,0
35,2,730020,1073532,0,0,0,0
41,2,623736,971700,0,0,0,0
43,1,696180,795420,15,6,0,0
31,1,732796,726908,5,2,0,1
25,2,918948,1349544,0,0,0,0
42,2,704496,953544,0,0,0,0
42,2,754800,854400,0,0,0,0
31,2,972604,1227524,3,2,0,1
30,2,477528,783480,0,0,0,0
28,2,743364,1298676,0,0,0,0
42,2,564588,818400,2,2,0,0
37,1,415152,608700,0,0,0,0
31,1,656188,596420,3,2,0,1
31,2,644188,605420,5,2,0,1
30,2,675756,863820,8,4,0,0
39,1,559260,737580,4,2,0,0
47,2,690708,851628,0,0,0,0
32,1,871228,896000,3,2,0,1
36,2,679036,874100,3,2,0,1
37,2,696108,894324,4,3,0,0
30,2,656004,790800,10,10,0,0
37,2,645636,814200,0,0,0,0
37,2,448980,799380,4,3,0,0
26,2,708156,926604,0,0,0,0
36,1,672516,810120,10,0,0,0
30,2,1485016,1991660,3,2,0,1
42,1,546588,828000,0,0,0,0
34,2,758956,759848,3,2,0,1
39,2,722556,951348,0,0,0,0
29,1,528000,686400,0,0,0,0
41,1,750156,975600,0,0,0,0
51,1,736936,728240,5,2,0,1
36,1,835396,772016,5,4,0,1
49,2,532188,761496,0,0,0,0
50,2,668188,761240,3,2,0,1
32,1,719364,868092,0,0,0,0
31,2,955804,1107740,3,2,0,1
37,2,667908,829140,3,0,0,0
49,2,544188,838032,0,0,0,0
30,1,782184,915252,7,5,0,0
47,2,615636,932400,0,0,0,0
46,2,681756,905664,18,6,0,0
54,2,757108,702512,11,8,0,1
40,1,730036,720296,3,2,0,1
35,1,867184,821936,3,2,0,1
49,2,763108,780836,7,2,0,1
27,2,615636,829260,0,0,0,0
33,1,630388,665600,6,4,0,1
39,2,684156,791760,2,2,0,0
37,1,761364,983856,9,4,0,0
52,1,822148,842024,3,2,0,1
38,1,642036,768900,0,0,0,0
41,1,733336,659720,5,4,0,1
30,2,788356,899504,3,2,0,1
36,2,855364,818300,3,2,0,1
38,2,708156,862092,5,3,0,0
31,2,633636,847884,7,6,0,0
35,2,806028,966300,9,5,0,0
42,2,615636,830352,0,0,0,0
52,1,754228,694160,7,5,0,1
40,2,672156,815376,0,0,0,0
31,1,886000,1052960,3,2,0,1
52,2,537268,604220,18,5,0,1
30,2,648156,801732,0,0,0,0
45,1,758556,1032000,0,0,0,0
35,1,750748,829724,6,5,0,1
37,1,622836,793200,0,0,0,0
28,1,778428,948000,2,2,0,0
25,1,790584,1015800,2,2,0,0
33,2,902584,1110260,3,2,0,1
48,2,930028,1019600,10,8,0,1
25,2,592188,903540,0,0,0,0
47,2,861280,880400,7,5,0,1
26,2,571188,813240,2,0,0,0
37,1,501408,860364,0,0,0,0
47,2,692724,929352,3,0,0,0
35,2,379932,841488,0,0,0,0
40,1,534108,846000,2,2,0,0
44,2,706936,651392,5,2,0,1
50,1,796708,761144,18,10,0,1
37,1,870028,917600,3,2,0,1
46,2,902584,870428,3,2,0,1
44,2,389808,795948,2,0,0,0
40,1,829620,1061028,6,5,0,0
27,1,529428,793500,2,2,0,0
41,1,714840,877800,4,3,0,0
46,2,817756,740000,7,5,0,1
31,2,841336,1031048,3,2,0,1
28,2,692556,837600,0,0,0,0
35,1,718956,923328,0,0,0,0
39,2,748036,757484,3,2,0,1
27,1,865476,1234740,0,0,0,0
38,2,925804,884000,5,4,0,1
41,2,555268,570836,3,2,0,1
26,2,686952,821460,2,2,0,0
36,2,710836,751148,3,2,0,1
46,2,651756,744324,0,0,0,0
49,1,768984,984000,4,4,0,0
27,2,814584,956676,3,3,0,0
30,2,527076,900060,4,4,0,0
39,2,751636,738776,3,2,0,1
50,2,656188,672164,15,4,0,1
32,1,529428,793500,0,0,0,0
29,1,696708,808212,0,0,0,0
49,2,719680,688916,3,2,0,1
43,2,910548,1024032,0,0,0,0
33,2,825804,1304400,2,0,0,0
35,1,596436,784080,3,3,0,0
40,2,573268,525080,5,2,0,1
26,1,928548,1330752,0,0,0,0
47,1,841564,764000,7,5,0,1
28,2,877476,1458000,0,0,0,0
33,1,600348,832404,0,0,0,0
36,2,713364,828000,4,3,0,0
52,2,638188,816620,3,2,0,1
25,2,701916,1268400,0,0,0,0
32,1,730936,704456,3,2,0,1
29,1,538188,803616,3,0,0,0
43,1,828556,768788,5,4,0,1
49,1,924292,847688,6,4,0,1
33,2,782028,925716,2,0,0,0
42,2,772584,941976,0,0,0,0
37,2,1513804,2026532,6,5,0,1
40,1,717564,860916,4,2,0,0
35,2,766792,698396,5,4,0,1
54,2,620728,1090772,3,2,0,1
37,2,615636,808920,0,0,0,0
28,2,526188,835452,0,0,0,0
29,2,585396,808260,2,2,0,0
27,1,818028,1237092,0,0,0,0
45,1,844084,754400,5,4,0,1
31,2,528148,761744,3,2,0,1
43,2,713364,826200,5,5,0,0
51,2,734836,808148,5,4,0,1
45,2,715636,836000,3,2,0,1
41,2,690108,905568,3,3,0,0
39,2,789588,910092,0,0,0,0
45,1,711108,819780,5,3,0,0
41,2,679548,873252,3,2,0,0
36,2,757756,725540,6,4,0,1
51,2,712036,671456,5,2,0,1
40,2,825556,836648,3,2,0,1
45,2,826584,990000,0,0,0,0
26,2,849804,1249128,0,0,0,0
25,1,687108,881196,2,0,0,0
36,2,692188,823148,3,2,0,1
47,2,691936,618764,15,4,0,1
24,1,1027440,1456944,0,0,0,0
46,2,588588,850440,10,6,0,0
35,2,841476,1031088,3,2,0,0
46,1,1062232,1037600,14,7,0,1
41,2,906696,1056000,3,2,0,0
53,2,843556,747956,3,2,0,1
45,2,787108,737360,9,5,0,1
37,1,376452,724152,0,0,0,0
39,1,675108,781968,4,4,0,0
50,1,816964,719996,5,4,0,1
42,1,840276,1050180,18,8,0,0
38,2,740556,1184664,0,0,0,0
33,1,529300,486800,3,2,0,1
48,2,512448,898428,0,0,0,0
44,2,609636,754584,5,3,0,0
32,1,703636,636380,6,4,0,1
28,2,944232,1308000,0,0,0,0
32,2,751636,683048,5,2,0,1
35,1,521580,837876,10,4,0,0
33,2,675616,678356,3,2,0,1
49,1,856156,863708,9,2,0,1
51,2,811108,704000,6,5,0,1
44,1,661200,813840,0,0,0,0
36,1,562188,802932,0,0,0,0
36,2,751756,671456,5,2,0,1
47,2,376224,548760,0,0,0,0
26,1,564588,814356,2,2,0,0
30,2,514728,679584,0,0,0,0
37,2,808072,743492,9,5,0,1
45,2,758556,917820,5,2,0,0
45,1,1015012,1155320,6,2,0,1
36,1,644436,751920,0,0,0,0
44,2,784428,1528824,0,0,0,0
33,1,796708,752588,3,2,0,1
26,2,648936,734244,0,0,0,0
46,2,435228,736692,6,3,0,0
34,2,692104,792080,5,2,0,1
52,1,953476,1236272,5,2,0,1
46,2,705108,827292,0,0,0,0
48,1,566400,829944,8,7,0,0
44,2,638716,664868,3,2,0,1
47,2,941476,914384,7,5,0,1
30,1,516120,637044,0,0,0,0
47,1,620676,825000,15,8,0,0
53,2,811108,749000,11,5,0,1
30,1,811108,1125524,3,2,0,1
40,2,669108,935760,0,0,0,0
25,1,576696,801504,3,3,0,0
34,2,538980,797892,2,2,0,0
35,2,667188,956916,0,0,0,0
32,1,467268,697200,0,0,0,0
41,2,681108,1243452,0,0,0,0
50,2,754708,662168,3,2,0,1
44,1,609636,801600,0,0,0,0
46,2,816556,879152,3,2,0,1
36,1,892828,875480,3,2,0,1
28,1,523728,820356,0,0,0,0
41,2,967804,1090532,3,2,0,1
41,1,870184,854000,3,2,0,1
46,1,652924,621524,3,2,0,1
53,1,674188,796220,3,2,0,1
33,1,912708,1284468,2,0,0,0
28,2,556188,926304,0,0,0,0
33,1,1096396,1301852,3,2,0,1
39,2,663108,848196,6,3,0,0
45,1,461268,800400,0,0,0,0
35,1,830056,770000,3,2,0,1
32,2,754156,717272,3,2,0,1
37,2,561268,642680,5,4,0,1
35,2,963712,1077452,6,5,0,1
36,2,763108,662288,5,2,0,1
32,1,666156,804744,4,2,0,0
40,2,755364,936000,5,3,0,0
44,2,342348,817416,0,0,0,0
44,2,620640,754128,0,0,0,0
37,1,751104,911892,0,0,0,0
35,2,662188,817844,7,5,0,1
33,1,940204,996584,6,5,0,1
33,1,580188,846000,0,0,0,0
52,2,705196,715196,7,4,0,1
31,2,651636,840876,4,2,0,0
41,1,708276,869136,6,5,0,0
47,1,472440,766632,2,2,0,0
42,1,702120,839964,0,0,0,0
30,2,985804,1196216,5,2,0,1
48,1,799108,730364,7,4,0,1
35,2,280812,763524,3,0,0,0
27,1,615636,804000,4,3,0,0
41,2,813364,763304,10,7,0,1
35,2,1115440,1298252,3,2,0,1
55,2,513808,655484,5,4,0,1
28,1,643236,771456,0,0,0,0
37,1,711108,864900,11,5,0,0
46,2,484128,688584,0,0,0,0
47,1,512940,923496,2,2,0,0
36,2,884604,1019808,0,0,0,0
46,1,568188,1025940,3,0,0,0
31,1,597156,792216,0,0,0,0
36,2,741420,883368,0,0,0,0
46,2,746556,850872,4,0,0,0
36,1,901384,1006820,3,2,0,1
30,2,576108,735372,0,0,0,0
29,2,844788,1198728,0,0,0,0
25,1,675108,827016,0,0,0,0
34,1,782956,843836,3,2,0,1
47,1,606096,776112,13,3,0,0
29,1,508728,706824,3,3,0,0
41,2,580188,726780,0,0,0,0
44,2,544188,831756,0,0,0,0
47,1,699108,932124,0,0,0,0
39,2,622648,713492,9,4,0,1
34,1,818028,924000,4,2,0,0
49,2,831964,862640,6,4,0,1
27,1,713364,981708,0,0,0,0
27,1,597636,830052,0,0,0,0
48,2,784156,718988,3,2,0,1
27,1,615636,899532,5,0,0,0
50,2,708156,817308,0,0,0,0
48,1,746556,905760,0,0,0,0
33,2,794028,900000,2,2,0,0
38,1,766708,725948,5,4,0,1
49,2,710484,830400,0,0,0,0
47,2,586188,750912,0,0,0,0
26,1,635736,740496,2,2,0,0
37,2,519528,745392,3,3,0,0
34,2,793756,711440,3,2,0,1
36,2,687108,849120,2,0,0,0
36,1,674556,824280,0,0,0,0
48,2,797908,804776,5,2,0,1
33,2,580188,778068,9,6,0,0
45,2,520728,942792,4,4,0,0
51,2,615928,675548,3,2,0,1
49,1,524328,731700,3,2,0,0
32,2,1041748,1221140,3,2,0,1
52,1,653740,601928,15,5,0,1
31,1,837676,784880,5,4,0,1
46,1,729736,708980,6,5,0,1
32,2,358368,590400,3,3,0,0
28,2,681876,1164456,0,0,0,0
50,1,781108,730400,3,2,0,1
31,1,517188,766848,0,0,0,0
52,2,779656,921500,3,2,0,1
33,2,672156,833796,0,0,0,0
48,2,615636,741984,0,0,0,0
28,1,472740,779868,2,2,0,0
48,2,600936,845880,0,0,0,0
44,2,766516,699464,3,2,0,1
50,2,1273468,1484000,3,2,0,1
52,1,615628,737072,12,6,0,1
43,1,590436,798696,5,3,0,0
42,2,1047288,1459848,2,2,0,0
32,1,872584,923960,7,5,0,1
38,2,603636,881088,0,0,0,0
30,2,617196,827040,0,0,0,0
38,2,855364,832976,3,2,0,1
50,2,755908,699920,3,2,0,1
32,1,853476,1030956,4,3,0,0
42,1,894948,1077600,0,0,0,0
30,2,812028,1270668,0,0,0,0
27,1,639636,816360,2,2,0,0
25,2,368808,541200,2,0,0,0
55,2,692836,773432,3,2,0,1
44,2,757108,790148,3,2,0,1
37,2,618936,832416,0,0,0,0
51,1,950476,1100552,3,2,0,1
26,2,722556,906000,0,0,0,0
41,2,539388,747840,0,0,0,0
37,1,831556,787460,3,2,0,1
46,1,947748,1879440,0,0,0,0
37,2,914584,822848,5,4,0,1
46,1,961804,892160,3,2,0,1
33,2,665740,641960,5,4,0,1
45,1,796036,807824,7,6,0,1
32,2,627636,1243068,0,0,0,0
46,2,597336,690864,0,0,0,0
47,1,527388,862608,0,0,0,0
27,1,566988,815400,3,3,0,0
45,1,716556,852288,2,0,0,0
33,2,739348,737600,3,2,0,1
32,2,618936,807840,0,0,0,0
27,2,627636,795396,0,0,0,0
46,1,496728,954408,0,0,0,0
39,1,747748,743912,3,2,0,1
31,1,814584,983640,5,5,0,0
32,1,655908,841872,0,0,0,0
33,2,624388,709580,3,2,0,1
34,2,636936,864924,3,0,0,0
42,1,751008,871392,0,0,0,0
32,1,784156,740000,5,4,0,1
30,2,248412,811080,2,0,0,0
43,2,424740,856908,12,3,0,0
46,1,872584,900080,6,4,0,1
34,2,759384,1062000,0,0,0,0
